Standard Time,Raw Message,Common Event Name,Account Email,Host IP,origin.host.ip_address.ipv4,Log Source,Log Source Type,Origin Account Name,Target Host Name
2023-08-25T12:10:21.920448200Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 192.142.250.78 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=69 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=207a592a dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=177 request=https://www.securityfinance.com/storage/2018/08/cropped-favicon-300x300.png requestMethod=GET src=192.142.250.78 start=1692965350 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nUser-Agent:+Mozilla/5.0+(Linux;+Android+12;+Build,58.1.A.5.280)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/112.0.5615.138+Mobile+Safari/537.36\nAccept:+image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q\=0.8\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+image\nReferer:+https://www.securityfinance.com/locations/Dallas-TX-0353/?ref\=bing&keyword\=money%20loans&cmpid\=333782303&agid\=1219358760088891&adid\=76210063161328&msclkid\=95e01fd2c66c110f16987b3a5fd05993&utm_source\=bing&utm_medium\=cpc&utm_campaign\=SP_Search_NB%7CTX_Dallas_75237%7CSF_Branch_0353&utm_term\=money%20loans&utm_content\=Personal%20Loans\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\ndtn:+1\nCookie:+_vwo_uuid_v2\=D8C11B15398F06DD201720FF27EF6206C|4b612a5c90a29bd54c150fa145fdd091;+_gcl_au\=1.1.891586227.1692965347;+_ga_ZF2362WX62\=GS1.1.1692965347.1.0.1692965347.60.0.0;+_ga\=GA1.2.51169179.1692965347;+_gid\=GA1.2.1220010693.1692965347;+_uetsid\=31a1c480434011eeb3b6818eec6c32ea;+_uetvid\=31a1dc10434011ee9a796d45032c2bc9;+_uetmsclkid\=_uet95e01fd2c66c110f16987b3a5fd05993\n AkamaiSiemResponseHeaders=Mime-Version:+1.0\nContent-Type:+text/html\nContent-Length:+177\nCache-Control:+max-age\=0\nDate:+Fri,+25+Aug+2023+12:09:10+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=HIT\nServer-Timing:+edge;+dur\=1\nServer-Timing:+ak_p;+desc\=\""1692965350895_34695732_544889130_23_8441_15_0_219\"";dur\=1\n AkamaiSiemResponseStatus=503 AkamaiSiemContinent=NA AkamaiSiemCountry=US AkamaiSiemCity=ASHBURN AkamaiSiemRegion=VA AkamaiSiemASN=398465",,,[192.142.250.78],,Unidentified,,,
2023-08-25T12:10:21.920448200Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 192.142.250.78 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=69 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=207a54bf dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=0 request=https://www.securityfinance.com/storage/2018/08/cropped-favicon-150x150.png requestMethod=GET src=192.142.250.78 start=1692965350 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nUser-Agent:+Mozilla/5.0+(Linux;+Android+12;+Build,58.1.A.5.280)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/112.0.5615.138+Mobile+Safari/537.36\nAccept:+image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q\=0.8\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+image\nReferer:+https://www.securityfinance.com/locations/Dallas-TX-0353/?ref\=bing&keyword\=money%20loans&cmpid\=333782303&agid\=1219358760088891&adid\=76210063161328&msclkid\=95e01fd2c66c110f16987b3a5fd05993&utm_source\=bing&utm_medium\=cpc&utm_campaign\=SP_Search_NB%7CTX_Dallas_75237%7CSF_Branch_0353&utm_term\=money%20loans&utm_content\=Personal%20Loans\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\ndtn:+1\nCookie:+_vwo_uuid_v2\=D8C11B15398F06DD201720FF27EF6206C|4b612a5c90a29bd54c150fa145fdd091;+_gcl_au\=1.1.891586227.1692965347\n AkamaiSiemResponseHeaders={p} AkamaiSiemResponseStatus=0 AkamaiSiemContinent=NA AkamaiSiemCountry=US AkamaiSiemCity=ASHBURN AkamaiSiemRegion=VA AkamaiSiemASN=398465",,,[192.142.250.78],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=25 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e993696 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=177 request=https://www.securityfinance.com/storage/2018/05/home-carousel-background.jpg requestMethod=GET src=136.158.11.171 start=1692961025 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q\=0.8\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+image\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_gid\=GA1.2.1335760197.1692961024;+_ga_ZF2362WX62\=GS1.1.1692961024.1.1.1692961025.59.0.0;+_ga\=GA1.1.381387897.1692961024;+_dc_gtm_UA-85896742-1\=1\n AkamaiSiemResponseHeaders=Mime-Version:+1.0\nContent-Type:+text/html\nContent-Length:+177\nCache-Control:+max-age\=0\nDate:+Fri,+25+Aug+2023+10:57:05+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=HIT\nServer-Timing:+edge;+dur\=1\nServer-Timing:+ak_p;+desc\=\""1692961025724_400495158_513357462_25_10050_19_0_146\"";dur\=1\n AkamaiSiemResponseStatus=503 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=18 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e9933f5 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=6532 request=https://www.securityfinance.com/lib/js/dist/vendor/wp-polyfill.min.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""e3ea24ad521d91:0\""\nIf-Modified-Since:+Fri,+06+Jan+2023+13:44:46+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Fri,+06+Jan+2023+13:44:46+GMT\nAccept-Ranges:+bytes\nETag:+\""e3ea24ad521d91:0\""\nVary:+Accept-Encoding\nContent-Encoding:+gzip\nContent-Length:+6532\nCache-Control:+max-age\=1\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=MISS\nServer-Timing:+edge;+dur\=53\nServer-Timing:+origin;+dur\=0\nServer-Timing:+ak_p;+desc\=\""1692961024330_400495158_513356789_5430_7923_18_0_182\"";dur\=1\n AkamaiSiemResponseStatus=200 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=18 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e9933f3 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=2499 request=https://www.securityfinance.com/lib/js/dist/vendor/regenerator-runtime.min.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""c9e035893466d91:0\""\nIf-Modified-Since:+Mon,+03+Apr+2023+13:59:41+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Mon,+03+Apr+2023+13:59:41+GMT\nAccept-Ranges:+bytes\nETag:+\""c9e035893466d91:0\""\nVary:+Accept-Encoding\nContent-Encoding:+gzip\nContent-Length:+2499\nCache-Control:+max-age\=1\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=MISS\nServer-Timing:+edge;+dur\=52\nServer-Timing:+origin;+dur\=0\nServer-Timing:+ak_p;+desc\=\""1692961024328_400495158_513356787_5158_9783_18_0_182\"";dur\=1\n AkamaiSiemResponseStatus=200 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=22 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e99342c dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=0 request=https://www.securityfinance.com/lib/js/dist/a11y.min.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""0db6e4c9c4dd81:0\""\nIf-Modified-Since:+Mon,+11+Apr+2022+12:04:30+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\nVary:+Accept-Encoding\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Mon,+11+Apr+2022+12:04:30+GMT\nETag:+\""0db6e4c9c4dd81:0\""\nCache-Control:+max-age\=28\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=HIT\nServer-Timing:+edge;+dur\=1\nServer-Timing:+ak_p;+desc\=\""1692961024424_400495158_513356844_35_9250_17_0_182\"";dur\=1\n AkamaiSiemResponseStatus=304 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=22 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e99343c dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=858 request=https://www.securityfinance.com/core/modules/8f97a6ecc3/js/wpsl-widget.min.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""0a1517c256d71:0\""\nIf-Modified-Since:+Thu,+18+Feb+2021+18:40:10+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Thu,+18+Feb+2021+18:40:10+GMT\nAccept-Ranges:+bytes\nETag:+\""0a1517c256d71:0\""\nVary:+Accept-Encoding\nContent-Encoding:+gzip\nContent-Length:+858\nCache-Control:+max-age\=1\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=MISS\nServer-Timing:+edge;+dur\=59\nServer-Timing:+origin;+dur\=0\nServer-Timing:+ak_p;+desc\=\""1692961024467_400495158_513356860_5914_9389_17_0_182\"";dur\=1\n AkamaiSiemResponseStatus=200 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=18 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e993403 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=1661 request=https://www.securityfinance.com/lib/js/dist/hooks.min.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""4f7e08b16a8d81:0\""\nIf-Modified-Since:+Thu,+04+Aug+2022+15:26:18+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Thu,+04+Aug+2022+15:26:18+GMT\nAccept-Ranges:+bytes\nETag:+\""4f7e08b16a8d81:0\""\nVary:+Accept-Encoding\nContent-Encoding:+gzip\nContent-Length:+1661\nCache-Control:+max-age\=1\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=MISS\nServer-Timing:+edge;+dur\=76\nServer-Timing:+origin;+dur\=0\nServer-Timing:+ak_p;+desc\=\""1692961024360_400495158_513356803_7663_8823_17_0_182\"";dur\=1\n AkamaiSiemResponseStatus=200 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=16 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e9933d0 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=282 request=https://www.securityfinance.com/core/cache/autoptimize/js/autoptimize_single_93d421fd7576b0ca9c359ffe2fa16113.js requestMethod=GET src=136.158.11.171 start=1692961024 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+*/*\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+script\nReferer:+https://www.securityfinance.com/\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nIf-None-Match:+\""c56734f9abc3d91:0\""\nIf-Modified-Since:+Mon,+31+Jul+2023+12:38:57+GMT\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_ga\=GA1.2.381387897.1692961024;+_gid\=GA1.2.1335760197.1692961024\n AkamaiSiemResponseHeaders=Content-Type:+application/javascript\nLast-Modified:+Mon,+31+Jul+2023+12:38:57+GMT\nAccept-Ranges:+bytes\nETag:+\""c56734f9abc3d91:0\""\nVary:+Accept-Encoding\nContent-Encoding:+gzip\nContent-Length:+282\nCache-Control:+max-age\=1\nDate:+Fri,+25+Aug+2023+10:57:04+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=MISS\nServer-Timing:+edge;+dur\=57\nServer-Timing:+origin;+dur\=0\nServer-Timing:+ak_p;+desc\=\""1692961024261_400495158_513356752_5709_9659_18_0_182\"";dur\=1\n AkamaiSiemResponseStatus=200 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
2023-08-25T10:57:53.266744100Z,"CEF:0|Akamai|akamai_siem|1.0|detect|Activity detected|5|act=alert app=h2 c6a2Label=Source IPv6 Address cs1=IPBLOCK-BURST4-227854 cs1Label=Rules cs2=IP 136.158.11.171 recently having excessive BURST qualification(4) rate on category bucket(3,Origin Error)) cs2Label=Rule Messages cs3=25 message units per second cs3Label=Rule Data cs4Label=Rule Selectors cs5Label=Client Reputation cs6Label=API ID devicePayloadId=1e993686 dhost=www.securityfinance.com dpt=443 flexString1=90182 flexString1Label=Security Config Id flexString2=qik1_204703 flexString2Label=Firewall Policy Id out=177 request=https://www.securityfinance.com/core/views/d59ef54570/assets/gradient.svg requestMethod=GET src=136.158.11.171 start=1692961025 AkamaiSiemRuleTags=IPBLOCK/ADAPTIVE/BURST AkamaiSiemTLSVersion=tls1.3 AkamaiSiemRequestHeaders=Host:+www.securityfinance.com\nSec-CH-UA:+\""Not_A+Brand\"";v\=\""99\"",+\""Google+Chrome\"";v\=\""109\"",+\""Chromium\"";v\=\""109\""\nsec-ch-ua-mobile:+?0\nUser-Agent:+Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/109.0.0.0+Safari/537.36\nsec-ch-ua-platform:+\""Windows\""\nAccept:+image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q\=0.8\nsec-fetch-site:+same-origin\nsec-fetch-mode:+no-cors\nsec-fetch-dest:+image\nReferer:+https://www.securityfinance.com/core/cache/autoptimize/css/autoptimize_e0eaaeb04b80f9596d99bab398a0fa5a.css\nAccept-Encoding:+gzip,+deflate,+br\nAccept-Language:+en-US,en;q\=0.9\nCookie:+AKA_A2\=A;+_vwo_uuid_v2\=D2A4119017E300EBE95CA6B60F6B334DD|72ae740ae4dfd9a81c68d15d4d1a228d;+_gcl_au\=1.1.1905306064.1692961023;+_gid\=GA1.2.1335760197.1692961024;+_ga_ZF2362WX62\=GS1.1.1692961024.1.1.1692961025.59.0.0;+_ga\=GA1.1.381387897.1692961024\n AkamaiSiemResponseHeaders=Mime-Version:+1.0\nContent-Type:+text/html\nContent-Length:+177\nCache-Control:+max-age\=0\nDate:+Fri,+25+Aug+2023+10:57:05+GMT\nConnection:+keep-alive\nServer-Timing:+cdn-cache;+desc\=HIT\nServer-Timing:+edge;+dur\=1\nServer-Timing:+ak_p;+desc\=\""1692961025689_400495158_513357446_23_9600_19_0_146\"";dur\=1\n AkamaiSiemResponseStatus=503 AkamaiSiemContinent=AS AkamaiSiemCountry=PH AkamaiSiemCity=MANDALUYONG AkamaiSiemRegion=00 AkamaiSiemASN=17639",,,[136.158.11.171],,Unidentified,,,
